writer_path,writer_class,source_value_produced,rows_attributed,disable_strategy,can_be_disabled_safely,notes
scripts/build_entities.py:584-602 (step6_populate_classifications via fund_rows loop),active_pipeline,fund_universe,6671,refactor,CONDITIONAL,"Fires for every fund_universe.series_id during build_entities --reset step 6. Closing this writer means fund classification must come from fund_universe.fund_strategy column directly via reader migration. Refactor option: keep entity row but skip ECH insert when entity_type='fund'."
scripts/build_entities.py:638-641 (step6_populate_classifications via 'remaining' loop),active_pipeline,default_unknown,1876,one_line_gate,CONDITIONAL,"The 'remaining' loop catches entities not classified by seeds/managers/funds. For 1876 fund-typed eids this means funds that exist in entities but not in fund_universe at build time (orphan funds created earlier via resolve_pending_series). One-line fix: filter remaining query to entity_type<>'fund'."
scripts/resolve_pending_series.py:694-701 (wire_fund_entity),active_pipeline,stg_nport_fund_universe,4673,one_line_gate,CONDITIONAL,"Fires when N-PORT pending series resolution creates a new fund entity. Skip the INSERT for new fund_eid; classification belongs in fund_universe.fund_strategy. Pending series feeder still runs; only the ECH write goes."
scripts/build_entities.py:799-811 (replay_persistent_overrides reclassify branch),replay,manual_override,0,one_line_gate,YES,"Replays entity_overrides_persistent rows on --reset. Currently 0 open fund-typed manual_override rows but could replay any persisted fund-targeted reclassify override. Gate by checking entity_type at replay time."
scripts/admin_bp.py:1041-1080 (CSV override import — reclassify/is_activist),active_pipeline,manual,0,one_line_gate,YES,"Operator-driven CSV import endpoint. 0 current fund-typed rows but operator can target any entity_id. Reject CSV rows where target entity has entity_type='fund' with explicit error."
scripts/entity_sync.py:679-689 (update_classification_from_sic),active_pipeline,SEC_SIC,0,one_line_gate,YES,"Called from resolve_long_tail.py for entities with CIK+unknown classification. Fund entities rarely have CIK identifiers (they have series_id) but funds-with-CIK could be picked up. Add entity_type guard at function entry."
scripts/resolve_13dg_filers.py:359-365,active_pipeline,manual_review_13dg,0,none_needed,YES,"Creates new institution entities only (entity_type='institution'). Cannot produce fund-typed rows by construction."
scripts/bootstrap_etf_advisers.py:188-194,oneoff_legacy,etf_adviser_bootstrap variants,0,none_needed,YES,"Creates institution adviser entities. Cannot produce fund-typed rows."
scripts/bootstrap_residual_advisers.py:222-228,oneoff_legacy,residual_adviser_bootstrap variants,0,none_needed,YES,"Creates institution adviser entities. Cannot produce fund-typed rows."
scripts/bootstrap_tier_c_advisers.py:188-194,oneoff_legacy,tier_c_bootstrap variants,0,none_needed,YES,"Creates institution adviser entities. Cannot produce fund-typed rows."
scripts/oneoff/apply_series_triage.py:390-396,oneoff_legacy,series-triage,0,none_needed,YES,"Creates institution entities (line 370 hardcodes entity_type='institution'). Confusingly named — 'series_triage' refers to N-PORT series resolution targets but the entities created are advisers, not funds."
scripts/oneoff/bootstrap_tier_c_wave2.py:166-172,oneoff_legacy,bootstrap_tier_c_wave2 variants,0,none_needed,YES,"Creates institution entities."
scripts/oneoff/calamos_merge_tier4_classify_apply.py:366-371,oneoff_legacy,tier4_keyword_sweep,0,none_needed,YES,"Operates on existing tier4 institution entities (created by dera_synthetic_stabilize). Filters by created_source='bootstrap_tier4'. Cannot touch fund-typed."
scripts/oneoff/dera_synthetic_stabilize.py:556-561,oneoff_legacy,bootstrap_tier4,0,none_needed,YES,"Creates synthetic adviser entities for DERA-only N-PORT filers (entity_type='institution', line 534)."
scripts/oneoff/dm15c_amundi_sa_apply.py:193-198,oneoff_legacy,dm15c_amundi_sa,0,none_needed,YES,"Targets known Amundi parent + Taiwan eids (institutions). Hardcoded entity_ids. Cannot produce fund-typed rows."
scripts/oneoff/dm15c_amundi_sa_apply.py:222-227,oneoff_legacy,dm15c_amundi_sa,0,none_needed,YES,"Same script second SCD pair. Institution-only."
scripts/oneoff/inst_eid_bridge_aliases_merge.py:483-490,oneoff_legacy,(UPDATE close only),0,none_needed,YES,"UPDATE-only — closes ECH rows on brand-side institution eids during alias merges. Never produces new rows."
scripts/oneoff/unknown_classification_wave1_apply.py:289-305,oneoff_legacy,wave1 manifest source_string,0,none_needed,YES,"Tier A auto-resolutions wave 1 (#261). Manifest is institution-only by construction. Could be reused for future waves but each wave is its own oneoff."
