reader_path,sql_shape,entity_type_filter_applied,join_type,blast_radius_on_close,migration_target,notes
scripts/queries_helpers.py:184-188 (classification_join helper),"LEFT JOIN entity_classification_history {ec} ON {ec}.entity_id = {h}.entity_id AND {ec}.valid_to = DATE '9999-12-31'",implicit (h is holdings_v2 keyed on manager institution),LEFT,none,N/A,"holdings_v2.entity_id always references manager institution eid (13F filer) — funds are never the join target. Closing fund-typed ECH leaves this path unaffected."
scripts/queries_helpers.py:105-112 (entity_join helper),"LEFT JOIN entity_current {ec} ON {ec}.entity_id = {h}.entity_id (or via entity_identifiers cik bridge)",implicit (institution-keyed via cik or holdings_v2.entity_id),LEFT,none,N/A,"Used by Tier 4 holdings queries. Same reasoning as classification_join — joins on manager institution eid."
scripts/queries/entities.py:13-19 (search_entity_parents),"SELECT entity_id, display_name, entity_type, classification FROM entity_current WHERE entity_id = rollup_entity_id AND display_name ILIKE ? ORDER BY display_name LIMIT 20",none (returns any entity_type that is self-rollup),N/A (FROM entity_current),low,"display: read fund_universe.fund_strategy if entity_type='fund'","Self-rollup filter mostly excludes funds (funds typically have a fund_sponsor parent). Fund eids that ARE self-rollup will display NULL classification after close — cosmetic only in the type-ahead dropdown."
scripts/queries/entities.py:34-38 (get_entity_by_id),"SELECT entity_id, display_name, entity_type, classification, rollup_entity_id FROM entity_current WHERE entity_id = ?",none,N/A (FROM entity_current),medium,"if ec.entity_type='fund' read classification from fund_universe.fund_strategy by series_id","Single-eid lookup powering the node-detail panel. UI shows classification value. Funds will show NULL after close. Migration: in get_entity_by_id, when entity_type='fund', resolve classification via series_id → fund_universe.fund_strategy."
scripts/queries/entities.py:128-138 (get_entity_filer_children CTE),JOIN entity_current ec ON ec.entity_id = d.entity_id (reads ec.display_name only),implicit (ei.identifier_type='cik' filter excludes funds),INNER,none,N/A,"Only ec.display_name and ec.entity_id read. No classification dependency."
scripts/queries/entities.py:185-202 (get_entity_fund_children),JOIN entity_current ec ON ec.entity_id = er.child_entity_id (reads ec.display_name and ec.entity_id),fund_only (children with series_id identifier),INNER,none,N/A,"ec.classification not read. Returns NAV from fund_universe directly. No dependency on ECH."
scripts/queries/entities.py:241-256 (get_institution_hierarchy filer_rows),JOIN entity_current ec ON ec.entity_id = er.child_entity_id (ec.display_name only),institution_only (cik filter),INNER,none,N/A,"display_name read only."
scripts/queries/entities.py:266-284 (get_institution_hierarchy fund_rows inner),JOIN entity_current ec ON ec.entity_id = er.child_entity_id (ec.display_name only) + LEFT JOIN entity_identifiers series_id,fund_only (series_id filter),INNER,none,N/A,"display_name read only — funds are children but classification value not consumed."
scripts/queries/entities.py:320-327 (get_entity_sub_advisers),"SELECT DISTINCT ec.entity_id, ec.display_name, ec.classification FROM entity_relationships er JOIN entity_current ec ON ec.entity_id = er.parent_entity_id WHERE er.relationship_type = 'sub_adviser'",institution_only (parent of sub_adviser edge is institution),INNER,none,N/A,"Sub-adviser parents are institutions. Funds are never the parent of a sub_adviser edge."
scripts/admin_bp.py:1059-1064 (CSV reclassify is_activist branch — read prior class),"SELECT classification FROM entity_classification_history WHERE entity_id = ? ORDER BY valid_from DESC LIMIT 1",none,N/A (subquery in writer flow),low,combine with writer disable,"Reads prior classification to preserve it when flipping is_activist. After PR-C the SELECT returns no row for fund eids → fallback to 'unknown'. But the writer side will be gated to reject fund eids first (see writer disable PR), so this read becomes unreachable for funds."
