site_id,file,function,table,change_type,old_fragment,new_fragment,pr288_site,notes
R1,scripts/queries/cross.py,_cross_ownership_query (fund_parents CTE),fund_holdings_v2,READER_MIGRATE,"SELECT dm_rollup_name AS name FROM fund_holdings_v2 WHERE ... AND dm_rollup_name IS NOT NULL","SELECT e.canonical_name AS name FROM fund_holdings_v2 fh2 JOIN entity_rollup_history erh ON ... JOIN entities e ON e.entity_id = erh.rollup_entity_id WHERE ...",yes,Name now from entities.canonical_name via DM ERH; DROP fh2 branch from family_name UNION unchanged
R2,scripts/queries/cross.py,get_cross_ownership_fund_detail,fund_holdings_v2,READER_MIGRATE,"WHERE fh.dm_rollup_name = ? OR fh.family_name = ?","WHERE fh.family_name = ? OR EXISTS (SELECT 1 FROM entity_rollup_history erh2 JOIN entities e2 ON e2.entity_id = erh2.rollup_entity_id WHERE erh2.entity_id = fh.entity_id AND erh2.rollup_type = 'decision_maker_v1' AND erh2.valid_to = DATE '9999-12-31' AND e2.canonical_name = ?)",yes,Params unchanged [quarter inst inst tickers]; EXISTS replaces direct column reference
R3,scripts/queries/cross.py,get_overlap_institution_detail (inst_funds CTE),fund_holdings_v2,READER_MIGRATE,"AND (fh.dm_rollup_name = ? OR fh.family_name = ?)","AND (fh.family_name = ? OR EXISTS (SELECT 1 FROM entity_rollup_history erh2 JOIN entities e2 ON e2.entity_id = erh2.rollup_entity_id WHERE erh2.entity_id = fh.entity_id AND erh2.rollup_type = 'decision_maker_v1' AND erh2.valid_to = DATE '9999-12-31' AND e2.canonical_name = ?))",yes,Same pattern as R2; params unchanged
R4,scripts/build_summaries.py,_build_summary_by_parent / _ROLLUP_SPECS,fund_holdings_v2,READER_MIGRATE,"nport_rid_col='dm_rollup_entity_id' → SELECT fh.{nport_rid_col} GROUP BY fh.{nport_rid_col}","rollup_type conditional: DM path uses ERH JOIN nport_per_rollup CTE; EC path unchanged direct column",yes,_ROLLUP_SPECS changed to 3-tuple; function signature removes nport_rid_col param
R5,scripts/build_fixture.py,seed_sql UNION (fh_src branch),fund_holdings_v2,READER_DELETE,"UNION SELECT dm_rollup_entity_id FROM {fh_src} WHERE dm_rollup_entity_id IS NOT NULL","(line deleted)",yes,entity_id+rollup_entity_id UNION branches already cover eid closure; h_src DM branch on holdings_v2 retained
R6,web/react-app/src/types/api.ts,CrossOwnershipInvestor interface (comment),fund_holdings_v2,COMMENT_UPDATE,"// True when fund_holdings_v2 has rows under this investor's dm_rollup_name","// True when fund_holdings_v2 has rows under this investor's DM rollup (via entity_rollup_history)",yes,Doc comment only; no runtime change
W1,scripts/pipeline/load_nport.py,_TARGET_TABLE_COLUMNS + _STG_TARGET_DDL,fund_holdings_v2,WRITER_RETIRE,"(""dm_rollup_entity_id"", ""BIGINT""), (""dm_rollup_name"", ""VARCHAR"")","(rows deleted)",yes,Removes columns from staging table DDL; table schema matches new prod schema
W2,scripts/pipeline/load_nport.py,_promote_append_is_latest INSERT,fund_holdings_v2,WRITER_RETIRE,"dm_rollup_entity_id, dm_rollup_name in INSERT column list + NULL AS dm_rollup_entity_id/dm_rollup_name","(references removed)",yes,INSERT now omits dropped columns
W3,scripts/pipeline/load_nport.py,_enrich_staging_entities SELECT+UPDATE,fund_holdings_v2,WRITER_RETIRE,"dm.rollup_entity_id AS dm_rollup_entity_id, ea.alias_name AS dm_rollup_name + SET dm_rollup_entity_id/dm_rollup_name","(dm + ea JOINs removed; SET clauses removed)",yes,DM ERH and entity_aliases JOINs removed from mapping query; 3 SET clauses become 1
W4,scripts/pipeline/load_nport.py,_bulk_enrich_run SELECT+UPDATE,fund_holdings_v2,WRITER_RETIRE,"same pattern as W3","(same as W3)",yes,Same retirement as W3; safety-net path
W5,scripts/enrich_fund_holdings_v2.py,_LOOKUP_DDL CREATE TEMP TABLE,fund_holdings_v2,WRITER_RETIRE,"dm.rollup_entity_id AS dm_rollup_entity_id, ea.alias_name AS dm_rollup_name","(dm + ea JOINs removed; 2 columns removed from SELECT)",yes,_apply_batch UPDATE also updated (W6)
W6,scripts/enrich_fund_holdings_v2.py,_apply_batch UPDATE,fund_holdings_v2,WRITER_RETIRE,"SET dm_rollup_entity_id = e.dm_rollup_entity_id, dm_rollup_name = e.dm_rollup_name","(SET clauses removed)",yes,Companion retirement to W5
T1,tests/pipeline/test_load_nport.py,test_target_table_spec_excludes_row_id,fund_holdings_v2,TEST_UPDATE,"required: dm_entity_id dm_rollup_entity_id dm_rollup_name","required: dm_entity_id",yes,Assertion updated to not expect dropped columns
T2,tests/pipeline/test_load_nport.py,test_inf52_pre_promote_enrichment_populates_entity_columns,fund_holdings_v2,TEST_UPDATE,"asserts dm_rollup_entity_id=200 dm_rollup_name='Test Family'","asserts entity_id=42 rollup_entity_id=100 dm_entity_id=42 only",yes,Test simplified to not assert dropped columns; DM ERH seed rows removed from fixture
M1,scripts/migrations/024_drop_fh2_dm_rollup_denorm.py,(new file),fund_holdings_v2,SCHEMA_MIGRATION,"(new)","DROP INDEX (6 indexes); ALTER TABLE DROP COLUMN dm_rollup_entity_id; ALTER TABLE DROP COLUMN dm_rollup_name; RECREATE INDEX (6 indexes)",yes,Index drop/recreate required by DuckDB positional index constraint
