file,line,enclosing_function,call_site_class,context
scripts/queries/entities.py,119,compute_aum_for_subtree,DEFINITION,"def compute_aum_for_subtree(entity_id, quarter, con) — recursive ER walk (depth<4, excludes sub_adviser) → distinct CIK set → SUM(holdings_v2.market_value_usd) WHERE quarter AND is_latest"
scripts/queries/entities.py,382,get_entity_sub_advisers,PRODUCTION_CALLER,"For each sub_adviser entity advising a fund, returns aum=compute_aum_for_subtree(r[0], quarter, con). Subtree-grain because a sub_adviser can itself parent multiple filer-CIKs."
scripts/queries/entities.py,422,build_entity_graph,PRODUCTION_CALLER,"Institution root node (level 0) of the Entity Graph tab: inst_aum = compute_aum_for_subtree(root_id, quarter, con). Drives the headline AUM number on the institution node label."
scripts/queries/__init__.py,133,(module-level export),DOC_REFERENCE,"Re-export so callers can do `from queries import compute_aum_for_subtree`. No live invocation."
scripts/oneoff/cp_5_bundle_c_probe7_4_readers_writers.py,101,(probe data row),DOC_REFERENCE,"PR #281 Bundle C inventory row classifying the function as multi-hop ER + R5 unified candidate."
scripts/oneoff/cp_5_discovery_phase3_readers.py,117,(probe data row),DOC_REFERENCE,"PR #276 discovery row tagging the function as Entity Drilldown reader."
tests/test_cp5_5_sector_rotation_new_exits_aum.py,15,(module docstring),DOC_REFERENCE,"Records that S8 (compute_aum_for_subtree) was deferred from CP-5.5 due to schema mismatch."
docs/findings/cp-5-5-execute-results.md,34,(prose),DOC_REFERENCE,"PR #306 deferral note."
docs/findings/cp-5-5-execute-results.md,113,(prose),DOC_REFERENCE,"PR #306 §6 — recon-doc correction explaining why the OTHER_VIEW_SWAP one-line classification was wrong."
docs/findings/cp-5-5-recon-results.md,83,(prose),DOC_REFERENCE,"Original (incorrect) S8 row in CP-5.5 recon table."
docs/findings/cp-5-5-recon-results.md,117,(prose),DOC_REFERENCE,"Recon root-cause analysis."
docs/findings/cp-5-5-recon-results.md,166,(prose),DOC_REFERENCE,"Recon migration-class call-out."
docs/findings/cp-5-5-recon-results.md,193,(prose),DOC_REFERENCE,"Recon S8 line item."
docs/findings/cp-5-5-recon-results.md,278,(prose),DOC_REFERENCE,"Recon out-of-scope note."
