file,line,function,feature,query_shape,migration_class,migration_status,routes_to
scripts/queries/register.py,47-100,query1,Register top-25,holdings_v2 → R5 unified,M,MIGRATED,cp-5-2 (#300)
scripts/queries/register.py,104-115,summary_by_parent lookup,Register N-PORT cov,summary_by_parent (NAME) → rebuild keyed by tp_eid,M,PENDING_CP5_BUNDLE_C_Q7,Q7 summary_by_parent rebuild (post-CP-5)
scripts/queries/register.py,119-140,query2,Register holders,holdings_v2 → R5 unified,S,MIGRATED,cp-5-2 (#300)
scripts/queries/register.py,225-310,query3/4/5,Register active/passive,holdings_v2 → R5 unified + manager_type imputation,M,PENDING_CP5_BUNDLE_C_MGR_TYPE,manager_type imputation cohort (post-CP-5)
scripts/queries/register.py,455-475,query12,Register flows,holdings_v2 → R5 unified,S,MIGRATED,cp-5-2 (#300)
scripts/queries/register.py,560-660,query14,Register drill,holdings_v2 + summary_by_parent → R5 + tp_to_filer hierarchy,M,PENDING_CP5_2C,cp-5-2c-register-drill-hierarchy
scripts/queries/register.py,775-1135,query16,Register manager AUM,holdings_v2 + manager_aum (fund-tier; no rollup pattern),S,NO_OP,cp-5-2 (#300) marked no-op
scripts/queries/cross.py,55-95,_cross_ownership_query,Cross overlap multi-ticker,holdings_v2 → R5 unified,M,MIGRATED,cp-5-3 (#301)
scripts/queries/cross.py,330-360,_cross_ownership_fund_query,Cross fund-side,fund_holdings_v2 (already fund-canonical),S,NO_OP,cp-5-3 (#301) marked no-op
scripts/queries/cross.py,620-650,get_two_company_overlap,Cross pairwise (2-co overlap),holdings_v2 → R5 unified,S,MIGRATED,cp-5-3 (#301)
scripts/queries/cross.py,649,get_two_company_subject,Cross 2-co subject-only,holdings_v2 → R5 unified,S,MIGRATED,cp-5-3 (#301)
scripts/queries/cross.py,274-281,get_cross_ownership_fund_detail,Cross fund drill,family_name OR EXISTS(ERH decision_maker_v1),M,PENDING_CP5_2C,cp-5-2c-register-drill-hierarchy (BLOCKED_DRILL)
scripts/queries/cross.py,535-542,get_overlap_institution_detail,Cross 2-co institution drill,family_name OR EXISTS(ERH decision_maker_v1),M,PENDING_CP5_2C,cp-5-2c-register-drill-hierarchy (BLOCKED_DRILL)
scripts/queries/market.py,130-145,get_market_summary,Top Holders / Crowding count,holdings_v2 → R5 distinct(tp_eid),S,MIGRATED,cp-5-4 (#303)
scripts/queries/market.py,710-730,get_sector_flow_movers,Sector flow movers,holdings_v2 → R5 unified,S,PENDING_CP5_5,cp-5-5 (Sector Rotation)
scripts/queries/market.py,1040-1130,institution-hierarchy,Inst hierarchy / drill,holdings_v2 + ER → multi-hop ER + R5,M,PENDING_CP5_6,cp-5-6 (View 2 / Tier-3)
scripts/queries/fund.py,100-200,portfolio_context,Conviction Fund Portfolio,holdings_v2 + fund_holdings_v2 bridge → R5 + View 2,L,MIGRATED,cp-5-4 (#303) (CV1/CV2 sub-sites)
scripts/queries/flows.py,240-285,flow_analysis,Flows entry+peer,holdings_v2 → R5 unified deltas,M,PENDING_CP5_5,cp-5-5 (Flows)
scripts/queries/flows.py,340-430,cohort_analysis,Flows cohort by manager_type,holdings_v2 → R5 + manager_type imputation,M,PENDING_CP5_5,cp-5-5 (Flows + manager_type cohort)
